Parameter,Value,TbH,TbV
Thickness_DH,0.0,203.5354512493097,264.0306922291162
Thickness_DH,0.005,234.66124383318663,262.4870616643879
Thickness_DH,0.01,235.79128306345297,261.8313729573531
Thickness_DH,0.015,236.64094320785549,261.2569306664223
Thickness_DH,0.02,237.29573168722234,260.7692596629937
Thickness_DH,0.025,237.80927457620237,260.36415065230585
Thickness_DH,0.03,238.21790956118312,260.03335806474956
Thickness_DH,0.035,238.54729733333377,259.7673465335637
Thickness_DH,0.04,238.81602756180848,259.55661947230357
Thickness_DH,0.045,239.03780472739157,259.3923492086097
Thickness_DH,0.05,239.22286255565345,259.26664348748113
Thickness_DH,0.055,239.3789203482108,259.17261912816036
Thickness_DH,0.06,239.51184990794687,259.104375090262
Thickness_DH,0.065,239.62615116922925,259.056916154712
Thickness_DH,0.07,239.7252970298832,259.02605584346674
Thickness_DH,0.075,239.8119864381696,259.0083144201
Thickness_DH,0.08,239.8883318739541,259.00082046525887
Thickness_DH,0.085,239.95599922409846,259.00122027071666
Thickness_DH,0.09,240.01631272577376,259.0075968452254
Thickness_DH,0.095,240.07033405687525,259.01839893407856
Thickness_DH,0.1,240.1189221658019,259.0323796912188
