Parameter,Value,TbH,TbV
Thickness_SI_1,0.0,217.17178674365363,246.6727453287426
Thickness_SI_1,0.005,238.46589763145317,260.32637390410986
Thickness_SI_1,0.01,238.29960799944448,260.1279070565468
Thickness_SI_1,0.015,238.24410424579762,260.0633991446305
Thickness_SI_1,0.02,238.22624054483865,260.0428598222571
Thickness_SI_1,0.025,238.22055060159374,260.0363571034923
Thickness_SI_1,0.03,238.21874289041367,260.0343005928873
Thickness_SI_1,0.035,238.2181686502021,260.03365000069294
Thickness_SI_1,0.04,238.21798612121046,260.0334440276899
Thickness_SI_1,0.045,238.21792805219334,260.0333787625978
Thickness_SI_1,0.05,238.21790956118312,260.03335806474956
Thickness_SI_1,0.055,238.21790366747805,260.0333514951879
Thickness_SI_1,0.06,238.21790178716267,260.0333494082648
Thickness_SI_1,0.065,238.21790118669398,260.0333487447835
Thickness_SI_1,0.07,238.21790099475126,260.0333485336784
Thickness_SI_1,0.075,238.21790093333541,260.03334846645595
Thickness_SI_1,0.08,238.21790091366452,260.03334844503314
Thickness_SI_1,0.085,238.21790090735766,260.03334843820056
Thickness_SI_1,0.09,238.21790090533344,260.03334843601954
Thickness_SI_1,0.095,238.21790090468306,260.0333484353228
Thickness_SI_1,0.1,238.21790090447382,260.03334843510004
