Parameter,Value,TbH,TbV
Temperature_SP,253.15,220.28632398214037,260.44012150963664
Temperature_SP,254.15,220.32285153498876,260.46430642812925
Temperature_SP,255.15,220.3607453775682,260.48926962752506
Temperature_SP,256.15,220.40006595910387,260.5150475733076
Temperature_SP,257.15,220.44087669562907,260.5416787009519
Temperature_SP,258.15,220.48324411259833,260.56920351918
Temperature_SP,259.15,220.52723799382184,260.5976647183807
Temperature_SP,260.15,220.57293153694644,260.62710728441425
Temperature_SP,261.15,220.6204015156856,260.6575786180221
Temperature_SP,262.15,220.66972844900832,260.6891286600682
Temperature_SP,263.15,220.72099677746826,260.7218100228379
Temperature_SP,264.15,220.77429504690272,260.7556781276305
Temperature_SP,265.15,220.8297160996513,260.79079134887394
Temperature_SP,266.15,220.88735727350755,260.82721116499897
Temperature_SP,267.15,220.94732060856907,260.86500231631203
Temperature_SP,268.15,221.00971306214157,260.90423297009835
Temperature_SP,269.15,221.07464673183807,260.944974893186
Temperature_SP,270.15,221.14223908702726,260.9873036322114
Temperature_SP,271.15,221.21261320874257,261.0312987018109
Temperature_SP,272.15,221.28589803810956,261.0770437809514
Temperature_SP,273.15,221.36222863342002,261.12462691763307
