Parameter,Value,TbH,TbV
Radius_SP,0.0001,231.35262454000664,257.50719639231045
Radius_SP,0.000105,231.30357453189183,257.43673365284167
Radius_SP,0.00011,231.24930666217793,257.35911362508944
Radius_SP,0.000115,231.18950879120962,257.2739717066402
Radius_SP,0.00012,231.1238630678361,257.18094243852437
Radius_SP,0.000125,231.05204704353878,257.07966050915167
Radius_SP,0.00013000000000000002,230.97373497399786,256.9697618995622
Radius_SP,0.000135,230.88859927974008,256.85088514863105
Radius_SP,0.00014000000000000001,230.79631213290742,256.72267271337904
Radius_SP,0.000145,230.69654713423841,256.58477239730485
Radius_SP,0.00015000000000000001,230.58898104311925,256.4368388186836
Radius_SP,0.000155,230.47329552400558,256.2785348910623
Radius_SP,0.00016,230.34917887445846,256.1095332895854
Radius_SP,0.000165,230.21632770325544,255.9295178791325
Radius_SP,0.00017,230.07444853121714,255.7381850833068
Radius_SP,0.00017500000000000003,229.92325929220814,255.53524517686068
Radius_SP,0.00018,229.76249071689088,255.32042348789494
Radius_SP,0.000185,229.591887586946,255.09346149994838
Radius_SP,0.00019,229.411209852339,254.8541178476642
Radius_SP,0.00019500000000000002,229.2202336086296,254.60216920296384
Radius_SP,0.0002,229.01875193512157,254.3374110514477
