Parameter,Value REF,Min,Max,,Reference,,TbV19,,,TbV37
Layer,WINDED SNOWPACK,,,,,,261.301372678383,,,254.122776870719
Thickness_SP,0.1,0,0.2,,Massom 2001,,,,,
Density_SP,370,310,450,,Massom 2001,,,,,
Temperature_SP,273,263,273,,,,Lewis 0.1 to 0.3mm,,,
Radius_SP,0.00005,0.00005,0.0004,,Massom 2001,0.0004,0.0004,0.0007,Era 0.00007,
Salinity_SP,1,0,3,,,,,,,
Fraction_volume_water_SP,0.005,0,0.1,,Era 0.005,,,,,
Layer,DEPTH HOAR,,,,,,,,,
Thickness_DH,0.01,0,0.1,,,,,,,
Density_DH,250,200,300,,,,,,,
Temperature_DH,273,263,273,,,,,,,
Radius_DH,0.0003,0.00005,0.0005,,Massom 2001,0.0003,0.0002,0.005,,
Salinity_DH,5,0,8,,Worbyand Massom[1995],,,,,
Fraction_volume_water_DH,0.02,0.01,0.1,,,,,,,
Layer,SNOW ICE,,,,Jutras et. Al 2016 ,,,,,
Thickness_SI,0.02,0,0.3,,"Lewis et al., 2011 Nicolaus et al. (2009",Nicolaus et al. (2009,Lewis et al 2010 Lewis et al 2010,,,
Density_SI,600,400,800,,Era 760,,,,,
Temperature_SI,272,267,273,,"Lewis et al 2010, Jutras et al. 2016",,,,,
Radius_SI,0.0004,0.0002,0.0006,,"Lewis et al., 2011",depth hoar 2-4mm cristal ,,,,
Salinity_SI,5,3,30,,Jutras et al. 2016,Massom 2001,,,,
Fraction_volume_water_SI,0.035,0.001,0.4,,,,,,,
Layer,SEA ICE 1,,,,,,,,,
Thickness_SI_1,0.05,0,0.1,,,,,,,
Density_SI_1,915,,,,,,,,,
Temperature_SI_1,269,255,272,,Massom 2001,,,,,
Radius_SI_1,0.000002,,,,,,,,,
Salinity_SI_1,8,6,11,,Jutras et al. 2016,,,,,
Layer,SEA ICE 2,,,,,,,,,
Thickness_SI_2,0.95,,,,,,,,,
Density_SI_2,915,,,,,,,,,
Temperature_SI_2,271.15,,,,,,,,,
Radius_SI_2,0.000002,,,,,,,,,
Salinity_SI_2,3,,,,Jutras et al. 2016,,,,,
