Parameter,Value REF,Min,Max,,Reference,,,,,
Layer,WINDED SNOWPACK,,,,,,,TbV19,,TbV37
Thickness_SP,0.08,0,0.2,,Massom 2001,,,261.301372678383,,254.122776870719
Density_SP,300,300,420,,Massom 2001,,,,,
Temperature_SP,269,259,273,,Massom 2001,,,,,
Radius_SP,0.0001,0.0001,0.0003,,,,,,,
Salinity_SP,1,0,3,,"Lewis et al., 2011",,,,,
Fraction_volume_water_SP,0,0,0.04,,Nicolaus 2009,,,,,
Layer,DEPTH HOAR,,,,,,,,,
Thickness_DH,0.03,0,0.1,,"Lewis et al., 2011",,,,,
Density_DH,310,200,345,,Massom 2001,,,,,
Temperature_DH,270,263,273,,,,,,,
Radius_DH,0.0002,0.0002,0.00045,,,,,,,
Salinity_DH,5,0,8,,Worbyand Massom[1995],,,,,
Fraction_volume_water_DH,0.02,0,0.04,,,,,,,
Layer,SNOW ICE,,,,Jutras et. Al 2016 ,,,,,
Thickness_SI,0.1,0,0.4,,"Lewis et al., 2011",Lewis et al 2010,,,,
Density_SI,500,400,800,,,,,,,
Temperature_SI,271,267,272,,"Lewis et al., 2011",,,,,
Radius_SI,0.0004,0.0002,0.0005,,,,,,,
Salinity_SI,5,3,24,,"Jutras et al. 2016, Massom 2001",,,,,
Fraction_volume_water_SI,0.025,0.001,0.4,,,,,,,
Layer,SEA ICE 1,,,,,,,,,
Thickness_SI_1,0.05,0,0.1,,,,,,,
Density_SI_1,915,,,,,,,,,
Temperature_SI_1,268,244,272,,Massom 2001,,,,,
Radius_SI_1,0.000002,,,,,,,,,
Salinity_SI_1,8,6,11,,Jutras et al. 2016,,,,,
Layer,SEA ICE 2,,,,,,,,,
Thickness_SI_2,0.95,,,,,,,,,
Density_SI_2,915,,,,,,,,,
Temperature_SI_2,271.15,,,,,,,,,
Radius_SI_2,0.000002,,,,,,,,,
Salinity_SI_2,3,,,,Jutras et al. 2016,,,,,
